,id,name,type,capital,population,citizens,nr_quartiers,quartiers,net_production_burg,area_requirements_burg
10,11,Besoscri,Naval,1,4596,"{'Farmer': 1021, 'Fisherman': 1192, 'Hunter': 170, 'Craftsman': 681, 'Tradesman': 851, 'Churchman': 0, 'Clerk': 340, 'Soldier': 340}",3,"{'Farmer': 1, 'Fisherman': 1, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 2.0, 'Net_Gold': 1.5}","{'Farmland_to_Feed_Burg_ha_Min': 4596, 'Farmland_to_Feed_Burg_ha_Max': 9192, 'Urban_Area_Burg_ha_Min': 11, 'Urban_Area_Burg_ha_Max': 23}"
11,12,Opel,Naval,1,27525,"{'Farmer': 6117, 'Fisherman': 7136, 'Hunter': 1019, 'Craftsman': 4078, 'Tradesman': 5097, 'Churchman': 0, 'Clerk': 2039, 'Soldier': 2039}",31,"{'Farmer': 7, 'Fisherman': 8, 'Hunter': 1, 'Craftsman': 5, 'Tradesman': 6, 'Churchman': 0, 'Clerk': 2, 'Soldier': 2}","{'Net_Food': 8.5, 'Net_Gold': 8.75}","{'Farmland_to_Feed_Burg_ha_Min': 27525, 'Farmland_to_Feed_Burg_ha_Max': 55050, 'Urban_Area_Burg_ha_Min': 69, 'Urban_Area_Burg_ha_Max': 138}"
12,13,Sores,Generic,1,12946,"{'Farmer': 5629, 'Fisherman': 563, 'Hunter': 563, 'Craftsman': 2251, 'Tradesman': 1689, 'Churchman': 0, 'Clerk': 1126, 'Soldier': 1126}",13,"{'Farmer': 7, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 2, 'Tradesman': 2, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 1.0, 'Net_Gold': 2.5}","{'Farmland_to_Feed_Burg_ha_Min': 12946, 'Farmland_to_Feed_Burg_ha_Max': 25892, 'Urban_Area_Burg_ha_Min': 32, 'Urban_Area_Burg_ha_Max': 65}"
13,14,Kylmi,Naval,1,4302,"{'Farmer': 956, 'Fisherman': 1115, 'Hunter': 159, 'Craftsman': 637, 'Tradesman': 797, 'Churchman': 0, 'Clerk': 319, 'Soldier': 319}",2,"{'Farmer': 1, 'Fisherman': 1, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 3.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 4302, 'Farmland_to_Feed_Burg_ha_Max': 8604, 'Urban_Area_Burg_ha_Min': 11, 'Urban_Area_Burg_ha_Max': 22}"
14,15,Kohtaki,Naval,1,35200,"{'Farmer': 7822, 'Fisherman': 9126, 'Hunter': 1304, 'Craftsman': 5215, 'Tradesman': 6519, 'Churchman': 0, 'Clerk': 2607, 'Soldier': 2607}",41,"{'Farmer': 9, 'Fisherman': 11, 'Hunter': 1, 'Craftsman': 6, 'Tradesman': 8, 'Churchman': 0, 'Clerk': 3, 'Soldier': 3}","{'Net_Food': 11.5, 'Net_Gold': 10.5}","{'Farmland_to_Feed_Burg_ha_Min': 35200, 'Farmland_to_Feed_Burg_ha_Max': 70400, 'Urban_Area_Burg_ha_Min': 88, 'Urban_Area_Burg_ha_Max': 176}"
15,16,Atropesia,Naval,1,25699,"{'Farmer': 5711, 'Fisherman': 6663, 'Hunter': 952, 'Craftsman': 3807, 'Tradesman': 4759, 'Churchman': 0, 'Clerk': 1904, 'Soldier': 1904}",29,"{'Farmer': 7, 'Fisherman': 8, 'Hunter': 1, 'Craftsman': 4, 'Tradesman': 5, 'Churchman': 0, 'Clerk': 2, 'Soldier': 2}","{'Net_Food': 10.5, 'Net_Gold': 6.5}","{'Farmland_to_Feed_Burg_ha_Min': 25699, 'Farmland_to_Feed_Burg_ha_Max': 51398, 'Urban_Area_Burg_ha_Min': 64, 'Urban_Area_Burg_ha_Max': 128}"
16,17,Fuzeylos,Hunting,1,3223,"{'Farmer': 1289, 'Fisherman': 129, 'Hunter': 387, 'Craftsman': 516, 'Tradesman': 387, 'Churchman': 0, 'Clerk': 258, 'Soldier': 258}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 3223, 'Farmland_to_Feed_Burg_ha_Max': 6446, 'Urban_Area_Burg_ha_Min': 8, 'Urban_Area_Burg_ha_Max': 16}"
17,18,Nikahai,Naval,1,4918,"{'Farmer': 1093, 'Fisherman': 1275, 'Hunter': 182, 'Craftsman': 729, 'Tradesman': 911, 'Churchman': 0, 'Clerk': 364, 'Soldier': 364}",3,"{'Farmer': 1, 'Fisherman': 1, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 2.0, 'Net_Gold': 1.5}","{'Farmland_to_Feed_Burg_ha_Min': 4918, 'Farmland_to_Feed_Burg_ha_Max': 9836, 'Urban_Area_Burg_ha_Min': 12, 'Urban_Area_Burg_ha_Max': 25}"
18,19,Kilvala,Naval,1,14154,"{'Farmer': 3145, 'Fisherman': 3670, 'Hunter': 524, 'Craftsman': 2097, 'Tradesman': 2621, 'Churchman': 0, 'Clerk': 1048, 'Soldier': 1048}",14,"{'Farmer': 3, 'Fisherman': 4, 'Hunter': 0, 'Craftsman': 2, 'Tradesman': 3, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 4.0, 'Net_Gold': 4.0}","{'Farmland_to_Feed_Burg_ha_Min': 14154, 'Farmland_to_Feed_Burg_ha_Max': 28308, 'Urban_Area_Burg_ha_Min': 35, 'Urban_Area_Burg_ha_Max': 71}"
19,20,Oncheleu,Generic,1,38762,"{'Farmer': 16853, 'Fisherman': 1685, 'Hunter': 1685, 'Craftsman': 6741, 'Tradesman': 5056, 'Churchman': 0, 'Clerk': 3371, 'Soldier': 3371}",47,"{'Farmer': 21, 'Fisherman': 2, 'Hunter': 2, 'Craftsman': 8, 'Tradesman': 6, 'Churchman': 0, 'Clerk': 4, 'Soldier': 4}","{'Net_Food': 4.0, 'Net_Gold': 7.0}","{'Farmland_to_Feed_Burg_ha_Min': 38762, 'Farmland_to_Feed_Burg_ha_Max': 77524, 'Urban_Area_Burg_ha_Min': 97, 'Urban_Area_Burg_ha_Max': 194}"
20,21,Bukan,Generic,1,36991,"{'Farmer': 16083, 'Fisherman': 1608, 'Hunter': 1608, 'Craftsman': 6433, 'Tradesman': 4825, 'Churchman': 0, 'Clerk': 3217, 'Soldier': 3217}",46,"{'Farmer': 20, 'Fisherman': 2, 'Hunter': 2, 'Craftsman': 8, 'Tradesman': 6, 'Churchman': 0, 'Clerk': 4, 'Soldier': 4}","{'Net_Food': 3.0, 'Net_Gold': 7.0}","{'Farmland_to_Feed_Burg_ha_Min': 36991, 'Farmland_to_Feed_Burg_ha_Max': 73982, 'Urban_Area_Burg_ha_Min': 92, 'Urban_Area_Burg_ha_Max': 185}"
21,22,Pulbium,Naval,1,17407,"{'Farmer': 3868, 'Fisherman': 4513, 'Hunter': 645, 'Craftsman': 2579, 'Tradesman': 3224, 'Churchman': 0, 'Clerk': 1289, 'Soldier': 1289}",18,"{'Farmer': 4, 'Fisherman': 5, 'Hunter': 0, 'Craftsman': 3, 'Tradesman': 4, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 5.0, 'Net_Gold': 6.25}","{'Farmland_to_Feed_Burg_ha_Min': 17407, 'Farmland_to_Feed_Burg_ha_Max': 34814, 'Urban_Area_Burg_ha_Min': 44, 'Urban_Area_Burg_ha_Max': 87}"
22,23,Vindautum,Naval,1,5589,"{'Farmer': 1242, 'Fisherman': 1449, 'Hunter': 207, 'Craftsman': 828, 'Tradesman': 1035, 'Churchman': 0, 'Clerk': 414, 'Soldier': 414}",4,"{'Farmer': 1, 'Fisherman': 1, 'Hunter': 0, 'Craftsman': 1, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 2.25}","{'Farmland_to_Feed_Burg_ha_Min': 5589, 'Farmland_to_Feed_Burg_ha_Max': 11178, 'Urban_Area_Burg_ha_Min': 14, 'Urban_Area_Burg_ha_Max': 28}"
23,24,Siunlinjo,Hunting,0,2170,"{'Farmer': 1578, 'Fisherman': 99, 'Hunter': 296, 'Craftsman': 99, 'Tradesman': 99, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 2170, 'Farmland_to_Feed_Burg_ha_Max': 4340, 'Urban_Area_Burg_ha_Min': 5, 'Urban_Area_Burg_ha_Max': 11}"
24,25,Breitter,Hunting,0,2424,"{'Farmer': 1551, 'Fisherman': 97, 'Hunter': 291, 'Craftsman': 194, 'Tradesman': 97, 'Churchman': 0, 'Clerk': 0, 'Soldier': 194}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 2424, 'Farmland_to_Feed_Burg_ha_Max': 4848, 'Urban_Area_Burg_ha_Min': 6, 'Urban_Area_Burg_ha_Max': 12}"
25,26,Ebutugusca,Lake,0,5570,"{'Farmer': 4456, 'Fisherman': 278, 'Hunter': 278, 'Craftsman': 278, 'Tradesman': 278, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",5,"{'Farmer': 5, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 5.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 5570, 'Farmland_to_Feed_Burg_ha_Max': 11140, 'Urban_Area_Burg_ha_Min': 14, 'Urban_Area_Burg_ha_Max': 28}"
26,27,Nuvuspo,Naval,0,23787,"{'Farmer': 10572, 'Fisherman': 6167, 'Hunter': 881, 'Craftsman': 1762, 'Tradesman': 2643, 'Churchman': 0, 'Clerk': 0, 'Soldier': 1762}",28,"{'Farmer': 13, 'Fisherman': 7, 'Hunter': 1, 'Craftsman': 2, 'Tradesman': 3, 'Churchman': 0, 'Clerk': 0, 'Soldier': 2}","{'Net_Food': 20.5, 'Net_Gold': 4.0}","{'Farmland_to_Feed_Burg_ha_Min': 23787, 'Farmland_to_Feed_Burg_ha_Max': 47574, 'Urban_Area_Burg_ha_Min': 59, 'Urban_Area_Burg_ha_Max': 119}"
27,28,Arin,Hunting,0,1571,"{'Farmer': 1143, 'Fisherman': 71, 'Hunter': 214, 'Craftsman': 71, 'Tradesman': 71, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 1571, 'Farmland_to_Feed_Burg_ha_Max': 3142, 'Urban_Area_Burg_ha_Min': 4, 'Urban_Area_Burg_ha_Max': 8}"
28,29,Miimaa,Generic,0,16808,"{'Farmer': 11693, 'Fisherman': 731, 'Hunter': 731, 'Craftsman': 1462, 'Tradesman': 731, 'Churchman': 0, 'Clerk': 0, 'Soldier': 1462}",16,"{'Farmer': 14, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 1, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 1}","{'Net_Food': 12.0, 'Net_Gold': -0.25}","{'Farmland_to_Feed_Burg_ha_Min': 16808, 'Farmland_to_Feed_Burg_ha_Max': 33616, 'Urban_Area_Burg_ha_Min': 42, 'Urban_Area_Burg_ha_Max': 84}"
29,30,Olymeryth,Naval,0,2631,"{'Farmer': 1316, 'Fisherman': 767, 'Hunter': 110, 'Craftsman': 110, 'Tradesman': 329, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 2631, 'Farmland_to_Feed_Burg_ha_Max': 5262, 'Urban_Area_Burg_ha_Min': 7, 'Urban_Area_Burg_ha_Max': 13}"
30,31,Sicearnas,Hunting,0,5861,"{'Farmer': 4263, 'Fisherman': 266, 'Hunter': 799, 'Craftsman': 266, 'Tradesman': 266, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",5,"{'Farmer': 5, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 5.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 5861, 'Farmland_to_Feed_Burg_ha_Max': 11722, 'Urban_Area_Burg_ha_Min': 15, 'Urban_Area_Burg_ha_Max': 29}"
31,32,Plategium,Hunting,0,4461,"{'Farmer': 3244, 'Fisherman': 203, 'Hunter': 608, 'Craftsman': 203, 'Tradesman': 203, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",4,"{'Farmer': 4, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 4.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 4461, 'Farmland_to_Feed_Burg_ha_Max': 8922, 'Urban_Area_Burg_ha_Min': 11, 'Urban_Area_Burg_ha_Max': 22}"
32,33,Durgopori,Hunting,0,5007,"{'Farmer': 3641, 'Fisherman': 228, 'Hunter': 683, 'Craftsman': 228, 'Tradesman': 228, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",4,"{'Farmer': 4, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 4.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 5007, 'Farmland_to_Feed_Burg_ha_Max': 10014, 'Urban_Area_Burg_ha_Min': 13, 'Urban_Area_Burg_ha_Max': 25}"
33,34,Acharta,Naval,0,3700,"{'Farmer': 1850, 'Fisherman': 1079, 'Hunter': 154, 'Craftsman': 154, 'Tradesman': 462, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",3,"{'Farmer': 2, 'Fisherman': 1, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 4.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 3700, 'Farmland_to_Feed_Burg_ha_Max': 7400, 'Urban_Area_Burg_ha_Min': 9, 'Urban_Area_Burg_ha_Max': 18}"
34,35,Kuntioge,Hunting,0,3445,"{'Farmer': 2505, 'Fisherman': 157, 'Hunter': 470, 'Craftsman': 157, 'Tradesman': 157, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",3,"{'Farmer': 3, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 3.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 3445, 'Farmland_to_Feed_Burg_ha_Max': 6890, 'Urban_Area_Burg_ha_Min': 9, 'Urban_Area_Burg_ha_Max': 17}"
35,36,Fredenmunsa,Generic,0,15786,"{'Farmer': 10982, 'Fisherman': 686, 'Hunter': 686, 'Craftsman': 1373, 'Tradesman': 686, 'Churchman': 0, 'Clerk': 0, 'Soldier': 1373}",15,"{'Farmer': 13, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 1, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 1}","{'Net_Food': 11.0, 'Net_Gold': -0.25}","{'Farmland_to_Feed_Burg_ha_Min': 15786, 'Farmland_to_Feed_Burg_ha_Max': 31572, 'Urban_Area_Burg_ha_Min': 39, 'Urban_Area_Burg_ha_Max': 79}"
36,37,Mautiojarmu,Hunting,0,1790,"{'Farmer': 1302, 'Fisherman': 81, 'Hunter': 244, 'Craftsman': 81, 'Tradesman': 81, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 1790, 'Farmland_to_Feed_Burg_ha_Max': 3580, 'Urban_Area_Burg_ha_Min': 4, 'Urban_Area_Burg_ha_Max': 9}"
37,38,Hauheterswe,Naval,0,20422,"{'Farmer': 10211, 'Fisherman': 5956, 'Hunter': 851, 'Craftsman': 851, 'Tradesman': 2553, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",24,"{'Farmer': 12, 'Fisherman': 7, 'Hunter': 1, 'Craftsman': 1, 'Tradesman': 3, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 22.5, 'Net_Gold': 5.25}","{'Farmland_to_Feed_Burg_ha_Min': 20422, 'Farmland_to_Feed_Burg_ha_Max': 40844, 'Urban_Area_Burg_ha_Min': 51, 'Urban_Area_Burg_ha_Max': 102}"
38,39,Karlsauern,Generic,0,13485,"{'Farmer': 10788, 'Fisherman': 674, 'Hunter': 674, 'Craftsman': 674, 'Tradesman': 674, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",13,"{'Farmer': 13, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 13.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 13485, 'Farmland_to_Feed_Burg_ha_Max': 26970, 'Urban_Area_Burg_ha_Min': 34, 'Urban_Area_Burg_ha_Max': 67}"
39,40,Koula,Naval,0,11925,"{'Farmer': 5962, 'Fisherman': 3478, 'Hunter': 497, 'Craftsman': 497, 'Tradesman': 1491, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",12,"{'Farmer': 7, 'Fisherman': 4, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 14.0, 'Net_Gold': 1.5}","{'Farmland_to_Feed_Burg_ha_Min': 11925, 'Farmland_to_Feed_Burg_ha_Max': 23850, 'Urban_Area_Burg_ha_Min': 30, 'Urban_Area_Burg_ha_Max': 60}"
40,41,Enzheim,Naval,0,2661,"{'Farmer': 1330, 'Fisherman': 776, 'Hunter': 111, 'Craftsman': 111, 'Tradesman': 333, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 2661, 'Farmland_to_Feed_Burg_ha_Max': 5322, 'Urban_Area_Burg_ha_Min': 7, 'Urban_Area_Burg_ha_Max': 13}"
41,42,Komeh,Highland,0,1514,"{'Farmer': 1178, 'Fisherman': 84, 'Hunter': 84, 'Craftsman': 84, 'Tradesman': 84, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",1,"{'Farmer': 1, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 0, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 1.0, 'Net_Gold': 0.0}","{'Farmland_to_Feed_Burg_ha_Min': 1514, 'Farmland_to_Feed_Burg_ha_Max': 3028, 'Urban_Area_Burg_ha_Min': 4, 'Urban_Area_Burg_ha_Max': 8}"
42,43,Aemara,Naval,0,10662,"{'Farmer': 5331, 'Fisherman': 3110, 'Hunter': 444, 'Craftsman': 444, 'Tradesman': 1333, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}",10,"{'Farmer': 6, 'Fisherman': 3, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 11.0, 'Net_Gold': 1.5}","{'Farmland_to_Feed_Burg_ha_Min': 10662, 'Farmland_to_Feed_Burg_ha_Max': 21324, 'Urban_Area_Burg_ha_Min': 27, 'Urban_Area_Burg_ha_Max': 53}"
